Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Acute Care Hospitals,Government - Federal,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"PO BOX 649
FORT DEFIANCE, AZ"
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Acute Care Hospitals,Voluntary non-profit - Other,False,True,3,This hospitals star rating only includes data reported on inpatient services,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"PO BOX 600
TUBA CITY, AZ"
30074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,PIMA,5203627003,Acute Care Hospitals,Tribal,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"HIGHWAY 86, AT TOPAWA ROAD
SELLS, AZ"
30077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Acute Care Hospitals,Government - Federal,False,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"103 MEDICINE WAY ROAD
PERIDOT, AZ"
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,9286747001,Acute Care Hospitals,Government - Federal,True,True,3,This hospitals star rating only includes data reported on inpatient services,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"US HWY 191, HOSPITAL ROAD
CHINLE, AZ"
31305,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,NAVAJO,9287376000,Critical Access Hospitals,Tribal,False,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"HIGHWAY 264, MILEPOST 388
POLACCA, AZ"
31308,HUHU KAM MEMORIAL HOSPITAL,483 WEST SEED FARM ROAD,SACATON,AZ,85147,PINAL,5205623321,Critical Access Hospitals,Government - Hospital District or Authority,True,True,3,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Below the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"483 WEST SEED FARM ROAD
SACATON, AZ"
31309,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,9287554541,Critical Access Hospitals,Voluntary non-profit - Private,False,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"STATE ROUTE 264 SOUTH 191
GANADO, AZ"
40007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,5015523000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,There are too few measures or measure groups reported to calculate a star rating or measure group score,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"TWO ST VINCENT CIRCLE
LITTLE ROCK, AR"
40018,SPARKS MEDICAL CENTER - VAN BUREN,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,CRAWFORD,4794743401,Acute Care Hospitals,Proprietary,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"EAST MAIN AND SOUTH 20TH STREET
VAN BUREN, AR"
40050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,OUACHITA,8708361000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"638 CALIFORNIA AVENUE
CAMDEN, AR"
40154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,1555 EXCHANGE AVENUE,CONWAY,AR,72032,FAULKNER,5015852000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"1555 EXCHANGE AVENUE
CONWAY, AR"
41324,CHI ST VINCENT MORRILTON,#4 HOSPITAL DRIVE,MORRILTON,AR,72110,CONWAY,5019772300,Critical Access Hospitals,Voluntary non-profit - Church,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"#4 HOSPITAL DRIVE
MORRILTON, AR"
41328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,CHICOT,8702655351,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,"2729 SOUTH HIGHWAY 65 &amp; 82
LAKE VILLAGE, AR"
50054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Acute Care Hospitals,Government - Hospital District or Authority,True,True,2,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA"
50103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"1720 E CESAR AVENUE
LOS ANGELES, CA"
50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,3237834011,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,This hospitals star rating only includes data reported on inpatient services,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"4867 SUNSET BLVD
LOS ANGELES, CA"
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,MONTEREY,8316245311,Acute Care Hospitals,Voluntary non-profit - Private,True,True,5,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,"23625 W R HOLMAN HIGHWAY
MONTEREY, CA"
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,"ONE HOAG DRIVE
NEWPORT BEACH, CA"
50280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA"
50309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,"ONE MEDICAL PLAZA
ROSEVILLE, CA"
50488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,5105371234,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"20103 LAKE CHABOT ROAD
CASTRO VALLEY, CA"
50547,SONOMA DEVELOPMENTAL CENTER,15000 ARNOLD DRIVE   /  P O BOX 1493,ELDRIDGE,CA,95431,SONOMA,7079386000,Acute Care Hospitals,Government - Federal,False,True,3,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Below the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"15000 ARNOLD DRIVE / P O BOX 1493
ELDRIDGE, CA"
50567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,9493641400,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,"27700 MEDICAL CENTER RD
MISSION VIEJO, CA"
50684,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,SUN CITY,CA,92585,RIVERSIDE,9516798888,Acute Care Hospitals,Physician,False,True,2,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"28400 MCCALL B0ULEVARD
SUN CITY, CA"
50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,5624017022,Acute Care Hospitals,Government - Local,False,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"7601 EAST IMPERIAL HIGHWAY
DOWNEY, CA"
51310,FRANK R HOWARD MEMORIAL HOSPITAL,1 MARCELA DR,WILLITS,CA,95490,MENDOCINO,7074563031,Critical Access Hospitals,Voluntary non-profit - Church,True,True,4,This hospitals star rating only includes data reported on inpatient services,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"1 MARCELA DR
WILLITS, CA"
51317,ST HELENA HOSPITAL-CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,LAKE,7079946486,Critical Access Hospitals,Voluntary non-profit - Church,True,True,2,This hospitals star rating only includes data reported on inpatient services,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"15630 18TH AVE - HWY 53
CLEARLAKE, CA"
53302,CHILDREN'S HOSP OF LOS ANGELES,4650 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,3236692164,Childrens,Voluntary non-profit - Private,True,True,3,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"4650 SUNSET BLVD
LOS ANGELES, CA"
53306,CHILDREN'S HOSPITAL AT MISSION,"27700 MEDICAL CENTER RD, 5TH FLOOR",MISSION VIEJO,CA,92691,ORANGE,9493652408,Childrens,Voluntary non-profit - Private,True,True,3,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Below the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"27700 MEDICAL CENTER RD, 5TH FLOOR
MISSION VIEJO, CA"
61325,PIONEERS MEDICAL CENTER,100 PIONEERS MEDICAL CENTER DRIVE,MEEKER,CO,81641,RIO BLANCO,9708785047,Critical Access Hospitals,Government - Hospital District or Authority,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"100 PIONEERS MEDICAL CENTER DRIVE
MEEKER, CO"
61326,PIKES PEAK REGIONAL HOSPITAL,16420 HIGHWAY 24,WOODLAND PARK,CO,80863,TELLER,7196879999,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"16420 HIGHWAY 24
WOODLAND PARK, CO"
70006,STAMFORD HOSPITAL,ONE HOSPITAL PLAZA,STAMFORD,CT,6904,FAIRFIELD,2032761000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,"ONE HOSPITAL PLAZA
STAMFORD, CT"
